Nombre;Departamento;Poblacion Censo 1991-05-15;Poblacion Censo 2001-11-17;Poblacion Censo 2010-10-27;Poblacion Censo 2022-05-18;% CT ano a ano (1991-2022);Superficie en km2;Densidad de poblacion km2
7 de Abril (Siete de Abril);Burruyacu;436;439;492;922;0.03595738384137319;1.542;597.925
Acheral;Monteros;1726;2093;2683;3678;0.03648188988150862;1.973;1864.166
Aguilares;Rio Chico;26657;31201;32908;39311;0.015312808957763319;9.418;4174.028
Alderetes;Cruz Alta;19497;32531;41947;65975;0.07689851374984075;14.26;4626.578
Alpachiri;Chicligasta;529;659;1838;2045;-0.032133361790353074;1.888;1083.157
Alto de la Cocha;La Cocha;...;...;...;176;0;5.784;30.429
Alto Verde;Chicligasta;1775;2463;2341;3349;0.02860517946388006;8.947;374.315
Amaicha del Valle;Tafi del Valle;880;1139;1327;2643;-0.032161180351906155;6.353;416.024
Amberes;Monteros;...;...;...;348;0;1.583;219.836
Ampimpa;Tafi del Valle;...;...;...;311;0;1.356;229.351
Arcadia (incl. Barrio San Roque);Chicligasta;1656;246;2665;5582;0.07647654667290012;2.852;1957.223
Atahona;Simoca;337;381;399;818;0.046041925911745;8.958;91.315
Bajo Grande;Cruz Alta;...;...;...;504;0;6.298;80.025
Banda del Rio Sali;Cruz Alta;51815;60081;63226;75043;0.014460876629945874;19.35;3878.191
Barrio Malvinas;Tafi del Valle;...;...;...;217;0;1.036;209.459
Barrio San Felipe;Lules;...;1492;2157;11546;0.3208859951487297;3.651;3162.421
Barrio San Jorge;Burruyacu;...;242;394;835;0.11668634395907124;1.533;544.684
Barrio San Martin;Burruyacu;...;...;...;240;0;1.831;131.076
Barrio Santa Emilia;Chicligasta;...;...;...;774;0;3.836;201.773
Barrio Santa Rita;Tafi Viejo;...;...;...;1154;0;1.387;832.012
Bella Vista;Leales;11089;12996;14791;20051;0.026070590151821473;5.632;3560.192
Benjamin Paz;Trancas;...;...;...;196;0;3.056;64.136
Boca del Tigre;Burruyacu;...;...;...;1073;0;2.113;507.809
Boca del Tigre;Cruz Alta;...;...;...;329;0;4.469;73.618
Campo de Herrera;Famailla;...;970;890;1358;-0.04755238095238096;3.977;341.463
Capitan Caceres;Monteros;384;458;513;1047;-0.03217011088709677;4.722;221.728
Cevil Redondo (Villa Carmela);Yerba Buena;6093;1078;14728;21176;0.07985366602605845;5.071;4175.902
Choromoro;Trancas;320;428;471;1067;-0.03215050403225807;6.267;170.257
Chuscha;Trancas;...;...;...;1099;0;7.203;152.575
Colalao del Valle;Tafi del Valle;506;579;632;964;0.02919801096519189;3.26;295.706
Colombres;Cruz Alta;3459;348;5086;6325;0.026727844146639434;1.614;3918.835
Colonia 1;Rio Chico;...;...;...;249;0;7.093;35.105
Colonia 6;Rio Chico;...;...;...;157;0;4.236;37.063
Colonia 10;Rio Chico;...;...;...;9;0;3.244;2.774
Colonia 14;Rio Chico;...;...;...;152;0;1.477;102.911
Colonia 17;Rio Chico;...;...;...;328;0;1.699;193.055
Colonia Mayo (- Barrio La Milagrosa);Cruz Alta;...;782;909;1181;#VALUE!;3.828;308.516
Concepcion;Chicligasta;37853;45989;49782;55913;0.015390606957474708;12.73;4392.223
Cruce Rio Colorado;Leales;...;...;...;263;0;5.071;51.864
Delfin Gallo;Cruz Alta;6218;7776;8828;10613;0.022800610091409955;2.652;4001.885
Domingo Millan;La Cocha;...;...;...;552;0;1.759;313.815
El Bracho;Cruz Alta;369;466;613;970;0.05253955765364106;6.517;148.841
El Cadillal;Tafi Viejo;...;626;865;277;#VALUE!;8.794;31.499
El Cajon;Burruyacu;...;...;...;317;0;7.866;40.300
El Cercado;Monteros;...;...;...;963;0;3.601;267.426
El Cevilar;Cruz Alta;...;...;...;107;0;2.073;51.616
El Chanar;Burruyacu;1396;1974;2395;4517;0.07211849523985582;1.772;2549.097
El Corralito;La Cocha;...;...;...;616;0;4.274;144.127
El Empalme;Cruz Alta;...;...;...;541;0;6.556;82.520
El Empalme;Cruz Alta;...;...;...;905;0;1.15;786.957
El Manantial;Lules;10126;1257;14582;21053;0.03480978382063421;67.18;313.382
El Molino;Chicligasta;...;...;...;1242;0;8.721;142.415
El Mollar;Tafi del Valle;1286;1655;1906;4613;0.08345457281894347;13.83;333.550
El Naranjito;Cruz Alta;...;...;...;477;0;9.173;52.000
El Naranjo;Burruyacu;...;154;238;396;#VALUE!;2.459;161.041
El Polear;Rio Chico;...;...;...;650;0;1.869;347.780
El Porvenir;Leales;...;...;...;587;0;1.054;556.926
El Puestito;Burruyacu;...;...;...;316;0;3.579;88.293
El Rodeo;Burruyacu;...;...;...;590;0;3.269;180.483
El Rodeo;Tafi del Valle;...;...;...;833;0;7.719;107.916
El Sacrificio;La Cocha;...;...;...;1487;0;2.478;600.081
El Siambon;Tafi Viejo;...;...;...;657;0;1.392;471.983
El Timbo;Burruyacu;...;...;...;642;0;1.434;447.699
Esquina;Leales;...;...;...;574;0;5.495;104.459
Estacion Araoz;Leales;905;1227;1315;2276;-0.032176938157191234;1.049;2169.685
Famailla (incl. Barrio Casa Rosada);Famailla;17822;21799;24065;33095;0.027644339544093746;10.22;3238.258
Garmendia;Burruyacu;1807;2353;3059;3596;0.031936733491618616;1.084;3317.343
