id,nombre,departamento,latitud,longitud,poblacion2022,superficieKm2,densidad,queryUsada,slug,displayName
loc-1,7 de Abril (Siete de Abril),Burruyacu,-26.292827,-64.498471,922,1.542000,597.925000,"7 de Abril (Siete de Abril), Burruyacu, Tucuman, Argentina",7-de-abril,"Escuela Media De 7 De Abril, Ruta Nacional 34, Municipio de Siete de Abril, Departamento Burruyacú, Tucumán, 4195, Argentina"
loc-2,Acheral,Monteros,-27.122764,-65.469486,3678,1.973000,1864.166000,"Acheral, Monteros, Tucuman, Argentina",acheral,"Municipio de Acheral, Departamento Monteros, Tucumán, T4142, Argentina"
loc-3,Aguilares,Rio Chico,-27.431480,-65.614663,39311,9.418000,4174.028000,"Aguilares, Rio Chico, Tucuman, Argentina",aguilares,"Municipio de Aguilares, Departamento Río Chico, Tucumán, T4153, Argentina"
loc-4,Alderetes,Cruz Alta,-26.813213,-65.141137,65975,14.260000,4626.578000,"Alderetes, Cruz Alta, Tucuman, Argentina",alderetes,"Alderetes, Departamento Cruz Alta, Tucumán, T4178, Argentina"
loc-5,Alpachiri,Chicligasta,-27.335840,-65.757380,2045,1.888000,1083.157000,"Alpachiri, Chicligasta, Tucuman, Argentina",alpachiri,"Municipio de Alpachiri y El Molino, Departamento Chicligasta, Tucumán, T4174, Argentina"
loc-6,Alto de la Cocha,La Cocha,-27.676294,-65.521880,176,5.784000,30.429000,"Alto de la Cocha, La Cocha, Tucuman, Argentina",alto-de-la-cocha,"Escuela Secundaria Alto Del Puesto, Municipio de El Sacrificio, Departamento La Cocha, Tucumán, 4162, Argentina"
loc-7,Alto Verde,Chicligasta,-27.379546,-65.608790,3349,8.947000,374.315000,"Alto Verde, Chicligasta, Tucuman, Argentina",alto-verde,"Municipio de Alto Verde y Los Guchea, Departamento Chicligasta, Tucumán, T4174, Argentina"
loc-8,Amaicha del Valle,Tafi del Valle,-26.593677,-65.920031,2643,6.353000,416.024000,"Amaicha del Valle, Tafi del Valle, Tucuman, Argentina",amaicha-del-valle,"Amaicha del Valle, Municipio de Amaicha del Valle, Departamento Tafí del Valle, Tucumán, T4137, Argentina"
loc-9,Amberes,Monteros,-27.269155,-65.489519,348,1.583000,219.836000,"Amberes, Monteros, Tucuman, Argentina",amberes,"Amberes, Municipio de Amberes, Departamento Monteros, Tucumán, T4142, Argentina"
loc-10,Ampimpa,Tafi del Valle,-26.596317,-65.857812,311,1.356000,229.351000,"Ampimpa, Tafi del Valle, Tucuman, Argentina",ampimpa,"Ampimpa, Municipio de Amaicha del Valle, Departamento Tafí del Valle, Tucumán, T4137, Argentina"
loc-11,Arcadia (incl. Barrio San Roque),Chicligasta,-27.305435,-65.574721,5582,2.852000,1957.223000,"Arcadia, Chicligasta, Tucuman, Argentina",arcadia,"Municipio de Arcadia, Departamento Chicligasta, Tucumán, T4174, Argentina"
